tsv	Biosample.term.name	ID
ENCFF147QBI.tsv	camera-type eye	ENCFF147QBI
ENCFF042PDK.tsv	metanephros	ENCFF042PDK
ENCFF057WTO.tsv	smooth muscle cell of the pulmonary artery	ENCFF057WTO
ENCFF846SOK.tsv	liver	ENCFF846SOK
ENCFF678NWU.tsv	lung	ENCFF678NWU
ENCFF476ZSX.tsv	occipital lobe	ENCFF476ZSX
ENCFF910XWA.tsv	GM12878	ENCFF910XWA
ENCFF990JEO.tsv	umbilical cord	ENCFF990JEO
ENCFF222LEJ.tsv	skin of body	ENCFF222LEJ
ENCFF052WIM.tsv	skeletal muscle tissue	ENCFF052WIM
ENCFF364FZI.tsv	tracheal epithelial cell	ENCFF364FZI
ENCFF026RBK.tsv	activated CD4-positive, alpha-beta T cell	ENCFF026RBK
ENCFF864MBB.tsv	spinal cord	ENCFF864MBB
ENCFF784PZE.tsv	stimulated activated CD4-positive, alpha-beta T cell	ENCFF784PZE
ENCFF960OCQ.tsv	liver	ENCFF960OCQ
ENCFF292FVY.tsv	mammary epithelial cell	ENCFF292FVY
ENCFF805HLI.tsv	aortic smooth muscle cell	ENCFF805HLI
ENCFF202XCC.tsv	regular cardiac myocyte	ENCFF202XCC
ENCFF977FLH.tsv	smooth muscle cell of the coronary artery	ENCFF977FLH
ENCFF203EQV.tsv	endothelial cell of coronary artery	ENCFF203EQV
ENCFF454MTF.tsv	endothelial cell of umbilical vein	ENCFF454MTF
ENCFF387IEG.tsv	K562	ENCFF387IEG
ENCFF917PRB.tsv	bronchial smooth muscle cell	ENCFF917PRB
ENCFF877GJA.tsv	PC-9	ENCFF877GJA
ENCFF933HZI.tsv	melanocyte of skin	ENCFF933HZI
ENCFF488DCO.tsv	K562	ENCFF488DCO
ENCFF026WTQ.tsv	astrocyte	ENCFF026WTQ
ENCFF103FSL.tsv	HepG2	ENCFF103FSL
ENCFF446MZM.tsv	A375	ENCFF446MZM
ENCFF882EWJ.tsv	PC-3	ENCFF882EWJ
ENCFF662ADI.tsv	fibroblast of villous mesenchyme	ENCFF662ADI
ENCFF060FCJ.tsv	smooth muscle cell of trachea	ENCFF060FCJ
ENCFF046QVS.tsv	HT-29	ENCFF046QVS
ENCFF366SYN.tsv	K562	ENCFF366SYN
ENCFF823QHI.tsv	temporal lobe	ENCFF823QHI
ENCFF029UWI.tsv	uterine smooth muscle cell	ENCFF029UWI
ENCFF736CEQ.tsv	thyroid gland	ENCFF736CEQ
ENCFF213EFU.tsv	fibroblast of the aortic adventitia	ENCFF213EFU
ENCFF307SLN.tsv	K562	ENCFF307SLN
